#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 5.550  2.700  1.427e-18 
 5.850  2.700  1.984e-20 
 0.150  2.900  1.922e-20 
 0.450  2.900  8.258e-19 
 0.750  2.900  2.271e-17 
 1.050  2.900  3.995e-16 
 1.350  2.900  4.498e-15 
 1.650  2.900  3.240e-14 
 1.950  2.900  1.494e-13 
 2.250  2.900  4.407e-13 
 2.550  2.900  8.319e-13 
 2.850  2.900  1.005e-12 
 3.150  2.900  7.769e-13 
 3.450  2.900  3.843e-13 
 3.750  2.900  1.216e-13 
 4.050  2.900  2.464e-14 
 4.350  2.900  3.194e-15 
 4.650  2.900  2.649e-16 
 4.950  2.900  1.406e-17 
 5.250  2.900  4.776e-19 
 5.550  2.900  1.038e-20 
 5.850  2.900  1.444e-22 
 0.150  3.100  6.820e-23 
 0.450  3.100  2.930e-21 
 0.750  3.100  8.056e-20 
 1.050  3.100  1.417e-18 
 1.350  3.100  1.596e-17 
 1.650  3.100  1.150e-16 
 1.950  3.100  5.300e-16 
 2.250  3.100  1.564e-15 
 2.550  3.100  2.952e-15 
 2.850  3.100  3.566e-15 
 3.150  3.100  2.756e-15 
 3.450  3.100  1.364e-15 
 3.750  3.100  4.316e-16 
 4.050  3.100  8.743e-17 
 4.350  3.100  1.133e-17 
 4.650  3.100  9.400e-19 
 4.950  3.100  4.989e-20 
 5.250  3.100  1.695e-21 
 5.550  3.100  3.683e-23 
 5.850  3.100  5.123e-25 
