"wavelength","1EMQ","1EVM","1FQP","1I34","1LVS","1NP9","1XAV","139D","148D","186D","201D","156D","1S45","2AVH","2GKU","2HY9","2JSM","2JPZ","2JSL","2KF8","2KKA","2LD8","143D"
249,-47.6497,16.6671,14.1013,63.78388991,34.4711,-34.8458,-22.5107,-36.6632,22.5197,31.86661312,18.0221,52.5963,-28.7788,52.9742,-8.76415,-20.10172,-6.55161,-4.71596,2.02107,20.41238,19.6005,-46.07508,32.05559
248,-62.838,-2.70938,12.9366,66.97954084,40.02,-55.9709,-41.7102,-57.0112,21.3902,27.02242273,21.4604,69.7045,-51.6343,61.6975,-11.51197,-23.14716,-10.94021,-11.30184,-4.17648,18.04343,17.04572,-59.76019,38.46859
247,-74.6739,-19.3799,11.3292,67.46978136,43.6301,-69.4123,-58.1419,-76.8311,19.6095,23.56452545,23.4655,83.1598,-67.1242,68.1998,-14.68192,-25.57122,-14.43976,-17.10179,-8.78607,15.22897,13.79577,-73.24465,42.82741
246,-83.5311,-33.1044,9.58501,66.53761282,45.3054,-90.3559,-71.591,-93.2808,17.739,19.42433289,24.496,93.7671,-81.5489,72.6056,-18.01126,-27.97066,-18.53219,-22.28505,-14.05631,13.5185,10.20555,-88.42547,45.3773
245,-88.9727,-44.0078,7.66064,64.34632675,45.6922,-97.3939,-81.5007,-103.876,15.5914,15.22906301,24.1915,101.171,-92.9709,74.786,-20.72516,-29.50843,-22.89794,-27.46291,-19.49626,10.0693,6.36373,-95.49044,46.34415
244,-91.8968,-51.9299,5.72246,60.74573235,44.5743,-102.556,-88.6374,-107.222,13.3835,12.72093952,22.8594,105.648,-99.4098,74.7763,-23.96984,-30.40761,-27.40382,-31.70773,-23.58264,5.44931,2.90849,-98.50255,46.507
243,-92.2778,-57.4344,3.66119,56.69528931,42.0813,-106.913,-92.7548,-113.591,11.1321,9.741034286,21.1358,107.421,-102.021,72.791,-27.00826,-31.1635,-30.76156,-35.23959,-27.12023,0.03624,-0.41717,-99.04721,45.5845
242,-90.3813,-60.6604,1.78626,50.72828518,38.585,-104.197,-94.2513,-110.089,8.68353,7.630559885,19.2404,106.009,-101.028,69.2517,-30.7592,-31.64113,-33.86963,-38.38645,-30.03798,-3.83908,-3.91186,-98.56326,43.91265
241,-87.3655,-61.7784,0.00697,44.72184875,34.5711,-101.59,-93.7425,-106.874,6.35644,4.723335267,16.6812,102.933,-99.3757,64.2446,-32.59342,-31.31427,-34.99998,-40.67039,-32.81798,-7.87577,-7.06939,-94.83073,41.17769
240,-83.1047,-60.7621,-1.49245,38.62374787,30.0204,-97.4695,-91.0717,-99.7241,4.0923,1.949799643,13.9294,97.7462,-92.7363,58.2631,-34.05037,-30.65563,-35.29207,-42.22282,-34.81363,-11.54066,-9.6555,-88.72275,38.19632
239,-78.0332,-58.3423,-2.58794,32.07085408,25.6793,-92.587,-86.8556,-91.6071,2.19898,0.17841209,11.2967,91.815,-87.2456,51.3712,-35.06662,-29.22193,-34.71982,-42.72836,-35.1183,-15.08255,-12.78837,-81.98966,34.87616
238,-72.8911,-54.6109,-3.24373,25.600281,21.7209,-82.1134,-81.6291,-83.8112,0.40808,-2.026579503,8.95698,85.1805,-79.3521,44.5613,-35.14212,-27.68783,-33.86393,-42.18196,-34.47467,-16.87272,-15.5849,-75.26185,31.41039
237,-66.9094,-50.0355,-3.66828,19.1273415,18.0725,-79.5902,-75.3836,-74.9752,-0.71298,-3.651522373,7.49392,77.7834,-72.9551,37.8578,-33.82807,-25.38392,-33.35295,-40.93411,-33.48361,-16.64355,-16.71658,-69.95016,28.46525
236,-61.4104,-45.0877,-3.34755,13.60301354,15.0556,-66.9245,-68.7989,-65.4996,-2.07633,-6.090618821,6.1419,70.5472,-62.1046,31.3431,-33.65957,-23.06937,-33.32441,-38.80643,-31.64865,-17.35808,-17.71174,-64.8632,25.66217
235,-56.2728,-39.5886,-2.76153,10.00233782,12.5939,-60.1539,-62.1012,-56.0052,-2.86591,-7.102114734,5.05601,64.0825,-53.9032,25.4842,-32.32246,-20.31651,-31.06884,-35.92795,-28.63232,-18.57883,-17.42462,-56.96792,23.43333
234,-51.3815,-33.7953,-1.5977,7.292950833,11.0877,-49.802,-55.2384,-48.0302,-3.5254,-6.956027479,4.55852,58.9411,-46.8732,20.6641,-30.37344,-16.21797,-29.19597,-31.78529,-24.72996,-18.88893,-16.42636,-49.14679,21.14604
233,-46.6284,-27.9403,-0.00411,3.591047377,10.0662,-40.46,-48.7511,-38.2865,-3.51765,-6.038435546,4.68592,56.2458,-39.8856,16.0513,-28.21553,-12.24678,-26.48072,-28.21052,-21.44208,-17.21124,-14.93969,-42.10982,20.07251
232,-42.656,-22.5852,1.80547,1.610454538,9.88221,-35.052,-42.6218,-30.6931,-3.53936,-4.743224869,5.76722,54.3652,-31.7583,13.137,-24.28292,-7.37746,-23.36003,-23.94649,-17.0801,-15.51762,-11.72847,-34.39918,19.53031
231,-38.7944,-17.0386,4.1771,0.485735364,10.4475,-25.0427,-36.7425,-24.9001,-3.34579,-2.644694238,7.55835,53.856,-23.7744,11.0362,-19.60987,-1.68704,-18.71162,-18.95553,-12.82106,-13.20397,-7.79752,-27.19975,19.99393
230,-34.2555,-11.5771,6.9537,0.206906139,11.9193,-21.0687,-31.6524,-15.8894,-2.70492,0.200304515,9.69128,54.6618,-22.378,9.6133,-14.26536,4.45039,-12.44623,-13.31609,-8.64465,-11.03435,-4.09497,-19.43916,21.31427
229,-30.1633,-5.65891,10.2019,0.297779337,13.6674,-12.5315,-26.6549,-8.90846,-1.82684,2.927609146,12.6333,56.2755,-15.4733,9.54887,-7.99819,10.85298,-5.11049,-7.27196,-3.59676,-5.9396,-0.46402,-11.53264,23.22808
228,-26.4586,-0.3604,13.6711,0.456403067,16.5106,-8.27704,-22.1173,-2.63364,-0.80666,6.776447048,16.1046,58.7394,-10.9579,10.2552,-0.19642,18.12159,1.65957,-1.31142,2.36042,-0.6824,4.46602,-5.43711,25.89179
227,-22.615,4.59642,17.3234,1.257629368,19.1825,3.5916,-17.7381,5.2822,0.33254,9.604546189,19.4784,61.5151,-6.02151,11.5719,8.79022,25.74139,8.76316,5.79578,8.17563,6.00771,10.5481,-1.88248,29.08738
226,-17.7996,9.51986,20.8368,2.816445401,22.8152,10.0661,-13.5169,11.2366,1.51244,14.3440298,23.3566,64.7908,-4.69618,13.7723,18.82006,34.4333,16.13979,14.55969,15.97429,12.74112,17.5669,6.34872,32.68893
225,-12.8106,15.2874,24.5089,3.573140607,26.4751,19.3857,-8.87365,14.6739,2.9712,19.89883555,27.3045,69.0816,-0.43073,16.5843,27.62448,43.10335,25.02556,23.36397,23.78228,19.85997,24.91346,14.10149,37.15104
224,-6.79359,21.0313,28.04,4.593525604,30.0129,19.705,-4.39711,20.5408,4.95334,25.13842323,31.2142,72.3819,1.90969,19.3395,36.67254,51.19725,33.61507,31.30205,31.87185,26.19413,32.79582,16.81243,41.63334
223,-1.17696,26.489,31.4036,5.277316999,33.0669,32.5879,-0.06494,31.202,6.65118,30.47185345,34.9921,76.4416,13.713,22.4869,45.62801,61.06578,42.02159,41.2673,40.87871,32.5504,41.72055,17.64876,47.18388
222,3.53014,31.3013,34.212,6.243038369,35.3379,38.6372,3.66836,37.7027,8.01705,34.65775204,38.6754,79.9407,21.2168,24.9776,55.9559,71.8028,49.1859,54.23141,48.92257,41.45375,51.84792,24.41386,52.73442
221,7.83386,35.122,36.5006,6.690504315,37.4341,54.4338,6.77993,49.6742,9.38846,40.19622269,41.9507,82.4384,24.1186,27.1391,65.3914,82.54109,57.62905,64.59351,56.24847,49.67512,63.39648,30.64358,58.28496
220,11.9158,38.8477,38.2248,5.926303228,38.9883,65.3953,9.53349,58.8879,10.5637,46.39201339,45.5059,84.164,34.485,28.7091,73.65198,91.0972,68.78897,74.11361,63.16942,58.53871,72.09984,38.95464,63.8355
