Time (µs), carbonic anhydrase A1 12:02:17 , carbonic anhydrase A2 12:05:51 , carbonic anhydrase A3 12:09:27 , carbonic anhydrase A4 12:13:00 , carbonic anhydrase A5 12:16:37 , carbonic anhydrase A1 12:20:14 , carbonic anhydrase A2 12:23:51 , carbonic anhydrase A3 12:27:25 , carbonic anhydrase A4 12:30:59 , carbonic anhydrase A5 12:34:33 , carbonic anhydrase A1 12:38:11 , carbonic anhydrase A2 12:41:47 , carbonic anhydrase A3 12:45:33 , carbonic anhydrase A4 12:49:12 , carbonic anhydrase A5 12:52:45 , carbonic anhydrase A1 12:56:24 , carbonic anhydrase A2 12:59:57 , carbonic anhydrase A3 13:03:36 , carbonic anhydrase A4 13:07:13 , carbonic anhydrase A5 13:10:48 , carbonic anhydrase A1 13:14:26 , carbonic anhydrase A2 13:18:21 , carbonic anhydrase A3 13:22:03 , carbonic anhydrase A4 13:25:48 , carbonic anhydrase A5 13:29:27 ,
14.4,1.04573,1.04847,1.04539,1.03693,1.05862,1.05088,1.04872,1.04553,1.03695,1.05557,1.0497,1.05123,1.04362,1.03614,1.05689,1.05017,1.04916,1.04759,1.03603,1.05628,1.04597,1.04794,1.04938,1.0387,1.0537,
15.2,1.04358,1.04631,1.04333,1.03518,1.05593,1.04852,1.04653,1.04346,1.03527,1.05294,1.04735,1.04904,1.04146,1.03454,1.05438,1.04781,1.04701,1.04536,1.03438,1.0537,1.04369,1.04577,1.04716,1.03698,1.05119,
16,1.04151,1.04425,1.04132,1.03353,1.05334,1.04631,1.04447,1.0415,1.03362,1.05042,1.04513,1.04691,1.03946,1.03296,1.052,1.04565,1.04493,1.04319,1.03282,1.05125,1.04148,1.04375,1.04495,1.03538,1.04873,
16.8,1.03957,1.0423,1.03946,1.03197,1.05088,1.0442,1.0425,1.03967,1.0321,1.04806,1.04309,1.04489,1.03749,1.03146,1.04971,1.04359,1.04298,1.04118,1.03129,1.04893,1.03943,1.04185,1.04289,1.03388,1.04641,
17.6,1.03767,1.04044,1.03773,1.03051,1.04858,1.04217,1.04061,1.03783,1.0307,1.0458,1.04104,1.04297,1.03565,1.03002,1.04754,1.04159,1.04116,1.03929,1.02988,1.04673,1.03757,1.04004,1.04096,1.03242,1.04428,
18.4,1.03591,1.0387,1.03603,1.02911,1.04636,1.04031,1.03884,1.03615,1.02935,1.04367,1.03911,1.0412,1.03395,1.02865,1.04551,1.03971,1.03938,1.03746,1.02852,1.04466,1.03572,1.03833,1.0391,1.03101,1.04222,
19.2,1.03414,1.03705,1.03447,1.02782,1.04427,1.03852,1.03716,1.03458,1.02803,1.04169,1.03736,1.03949,1.03233,1.02735,1.0436,1.03794,1.03769,1.03568,1.02728,1.04272,1.03402,1.03669,1.03732,1.02974,1.04028,
20,1.03263,1.03549,1.03293,1.02649,1.04227,1.03673,1.03557,1.03307,1.02681,1.03966,1.03571,1.03785,1.03077,1.0262,1.04172,1.0362,1.03615,1.03408,1.02606,1.04082,1.03235,1.03516,1.0357,1.02845,1.03844,
20.8,1.03116,1.03396,1.03151,1.02529,1.04042,1.03517,1.03405,1.03164,1.02562,1.03788,1.03406,1.03635,1.02928,1.02505,1.04,1.03467,1.03467,1.0325,1.02493,1.03905,1.03081,1.03371,1.03409,1.02731,1.0367,
21.6,1.02971,1.03252,1.03015,1.0242,1.0386,1.0337,1.03264,1.03031,1.02455,1.03616,1.03253,1.03485,1.02792,1.02397,1.03838,1.03318,1.03321,1.03101,1.02386,1.03735,1.02938,1.03233,1.03258,1.02618,1.03507,
22.4,1.02832,1.03116,1.02887,1.0231,1.03694,1.03229,1.03132,1.029,1.02347,1.03452,1.0311,1.03347,1.02657,1.02292,1.0368,1.03175,1.03191,1.02962,1.02281,1.03577,1.02797,1.03101,1.03116,1.02512,1.0335,
23.2,1.027,1.0299,1.02759,1.02211,1.03534,1.03084,1.02997,1.02782,1.0225,1.03296,1.02974,1.03215,1.02532,1.02196,1.03528,1.03035,1.03059,1.02831,1.02176,1.03426,1.02665,1.02975,1.02982,1.02408,1.032,
24,1.02583,1.02867,1.02648,1.0211,1.03381,1.02955,1.02875,1.02658,1.02155,1.03148,1.02845,1.03092,1.02415,1.02105,1.03389,1.02909,1.0294,1.02706,1.02087,1.03286,1.02537,1.02857,1.02854,1.02317,1.03057,
24.8,1.02466,1.0275,1.02536,1.02019,1.03239,1.02833,1.02761,1.0255,1.02065,1.03007,1.02725,1.02967,1.02299,1.02015,1.03254,1.02785,1.02824,1.02585,1.02001,1.03144,1.02422,1.02739,1.02727,1.02221,1.0292,
25.6,1.02356,1.02641,1.0243,1.01932,1.03097,1.02717,1.0265,1.02449,1.01974,1.02875,1.02603,1.02863,1.02196,1.01929,1.03126,1.02674,1.02716,1.02476,1.01917,1.0302,1.02308,1.02637,1.0262,1.02135,1.02795,
27.2,1.02155,1.02441,1.02239,1.01775,1.0285,1.02495,1.0245,1.02255,1.01821,1.02624,1.02391,1.0265,1.01998,1.01772,1.02892,1.02453,1.02513,1.02266,1.01762,1.02782,1.02101,1.02444,1.02406,1.01978,1.02562,
28.8,1.01972,1.0226,1.02063,1.01631,1.02626,1.02305,1.02264,1.0208,1.01676,1.02402,1.02194,1.02463,1.01823,1.01639,1.0268,1.02264,1.02334,1.02075,1.0162,1.02567,1.01918,1.02266,1.0222,1.01834,1.02355,
30.4,1.0181,1.02094,1.01906,1.01497,1.02419,1.02127,1.02098,1.01921,1.01549,1.02203,1.02023,1.02294,1.01662,1.01508,1.02484,1.02085,1.0217,1.01908,1.01495,1.02375,1.01747,1.02104,1.02046,1.01701,1.02164,
32,1.01661,1.01943,1.01761,1.01378,1.02229,1.01964,1.01949,1.01777,1.01432,1.02022,1.01861,1.0214,1.01515,1.01393,1.02308,1.01926,1.02017,1.01756,1.01379,1.022,1.01596,1.01957,1.01888,1.01581,1.0199,
33.6,1.01523,1.01811,1.01634,1.01273,1.02064,1.01824,1.01818,1.01651,1.01326,1.01858,1.01715,1.01997,1.01387,1.0129,1.02152,1.01785,1.01883,1.01615,1.01276,1.02045,1.01456,1.01827,1.01748,1.01475,1.01835,
35.2,1.01406,1.01684,1.0152,1.01176,1.01913,1.01695,1.01698,1.01534,1.01228,1.01713,1.01587,1.01872,1.01268,1.01195,1.02011,1.01653,1.0176,1.01491,1.01182,1.01901,1.01337,1.0171,1.01619,1.01379,1.01698,
36.8,1.01295,1.01577,1.01414,1.01088,1.01777,1.01575,1.01582,1.01428,1.01142,1.01579,1.01467,1.01756,1.0116,1.01112,1.01879,1.01539,1.01651,1.01383,1.01098,1.01775,1.01228,1.01603,1.01507,1.01292,1.01574,
38.4,1.01197,1.01479,1.01318,1.01008,1.01651,1.01466,1.01486,1.01333,1.01066,1.01459,1.01359,1.01656,1.01063,1.01035,1.01763,1.01432,1.01552,1.01276,1.01021,1.01661,1.01126,1.01504,1.01405,1.01212,1.01461,
40,1.01101,1.01388,1.01233,1.00938,1.01538,1.01366,1.01395,1.01249,1.00994,1.01352,1.01265,1.01563,1.00978,1.00965,1.01659,1.01337,1.0146,1.01187,1.00951,1.01556,1.0104,1.01418,1.01314,1.01141,1.01359,
41.6,1.01026,1.01305,1.01152,1.00872,1.01434,1.0128,1.0131,1.01171,1.00929,1.01251,1.01177,1.01476,1.00901,1.00899,1.0156,1.01251,1.01378,1.01102,1.00885,1.01458,1.00957,1.01337,1.01228,1.01076,1.01264,
43.2,1.00952,1.0123,1.01081,1.0081,1.01342,1.01201,1.0124,1.01098,1.00869,1.01161,1.011,1.01399,1.00829,1.00842,1.01473,1.0118,1.01302,1.01027,1.00834,1.01372,1.00882,1.01265,1.01152,1.01018,1.01182,
